case_study,benchmark,mode,success,interpret_time,interpret_cpu,interpret_mem,transpile_time,transpile_cpu,transpile_mem,compile_time,compile_cpu,compile_mem,execute_time,execute_cpu,execute_mem,smt_calls,smt_time,smt_mode,smt_eval_time,smt_wait_time,smt_cache_hits,smt_cache_misses,smt_cache_clears,work
dminor,all-1,compile-unbatched,y,NA,NA,NA,1.16,729,0.44534,143.19,156,3.586024,0.60,1478,0.048088,1006,3.9810700000000003,push-pop,2.9576100000000003,1.02346,0.001292,0.004854,0,0.106544
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,1474,0.046604,1006,4.3978,push-pop,3.16423,1.2335699999999998,0.001283,0.004863,0,0.105884
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1523,0.052836,1006,4.1862200000000005,push-pop,3.07038,1.11584,0.001322,0.004824,0,0.10616
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,1512,0.04696,1006,4.05371,push-pop,2.96739,1.08632,0.001305,0.004841,0,0.106486
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,1505,0.054624,1006,4.16503,push-pop,3.09126,1.07377,0.001291,0.004855,0,0.106901
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1478,0.050608,1006,4.1293299999999995,push-pop,3.04864,1.0806900000000002,0.001304,0.004842,0,0.106804
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,1446,0.046596,1006,3.98649,push-pop,2.95987,1.0266199999999999,0.001323,0.004823,0,0.106103
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,1433,0.057604,1006,4.01668,push-pop,2.9859299999999998,1.03075,0.001337,0.004809,0,0.10605
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,1452,0.05138,1006,4.1270299999999995,push-pop,3.04847,1.07856,0.001322,0.004824,0,0.10722
dminor,all-1,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,1532,0.046416,1006,4.00326,push-pop,2.92856,1.0747,0.001336,0.00481,0,0.106638
dminor,all-1,interpret-reorder,y,4.95,376,1.42658,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.859681956,push-pop,1.781,0.078681956,0.001276,0.003827,0,0.107631
dminor,all-1,interpret-reorder,y,4.73,403,1.395048,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.462514776,push-pop,1.382,0.080514776,0.001251,0.003852,0,0.107631
dminor,all-1,interpret-reorder,y,4.69,389,1.3892,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.433700025,push-pop,1.366,0.067700025,0.001246,0.003857,0,0.107631
dminor,all-1,interpret-reorder,y,4.70,399,1.384628,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.459772175,push-pop,1.39,0.069772175,0.001246,0.003857,0,0.107631
dminor,all-1,interpret-reorder,y,4.81,398,1.425584,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.4630405119999998,push-pop,1.398,0.06504051200000001,0.001266,0.003837,0,0.107631
dminor,all-1,interpret-reorder,y,4.82,397,1.428656,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.49016202,push-pop,1.415,0.07516202,0.001248,0.003855,0,0.107631
dminor,all-1,interpret-reorder,y,4.84,382,1.429252,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.537899772,push-pop,1.471,0.066899772,0.001259,0.003844,0,0.107631
